Stock#,Year,Make,Model,Trim,N/U/T,Status,Age,Ext. Color,Vin,Miles,Location,DMS Status,Price
RRF70422A,2020,FORD,EDGE,TITANIUM 4DR ALL-WHEEL DRIVE,U,Available,11,SILVER METALLIC,2FMPK4K98LBA77256,114498, ,S,17550
SEA66540,2025,FORD,EXPEDITION,TREMOR 4DR 4X4,N,Available,56,STAR WHITE MET ,1FMJU1RG8SEA66540,5, ,T,86375
SUB04052,2025,FORD,ESCAPE,ACTIVE 4DR FRONT-WHEEL DRIVE,N,Available,192,OXFORD WHITE,1FMCU0GN8SUB04052,2522, ,T,31985
FA1313,2024,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,U,Available,61,BLACK METALLIC,1FMCU9GN8RUA44188,42240, ,S,21898
R008F1K,2025,FORD,F-150,XL 4X2 REGULAR CAB 8 FT. BOX 141 IN. WB,S,Available,,OXFORD WHITE,1FTMF1KP0SKF66909,, ,O,40025
SFA62646A,2021,FORD,F-150, ,U,Available,11,BROWN,1FTFW1E87MFA26594,71971, ,S,42939
SRE47726A,2023,GMC,TERRAIN,DENALI ALL-WHEEL DRIVE,U,Available,76,STERLING METALLIC,3GKALXEG8PL266247,44173, ,S,28833
SEA61983,2025,FORD,EXPEDITION MAX,PLATINUM 4DR 4X4,N,Available,32,DARK MATTER GRE,1FMJK1MGXSEA61983,5, ,T,87730
TEC65538,2026,FORD,F-350, ,S,Available,39,OXFORD WHITE,1FT8W3BM5TEC65538,5, ,T,103500
,2017,FORD,EXPLORER,XLT 4DR 4X4,T,Appraised,, ,1FM5K8D82HGE37477,124746, ,,0
811BK1M,2025,FORD,EXPEDITION MAX,PLATINUM 4DR 4X4,N,Available,,STAR WHITE MET ,1FMJK1MG2SEA76655,, ,O,88725
FA1330,2025,FORD,EXPLORER,ACTIVE 4DR 4X4,U,Available,14,WHITE METALLIC,1FMUK8DH5SGB82679,19355, ,S,38629
SRF56598,2025,FORD,BRONCO SPORT,OUTER BANKS 4DR 4X4,N,Available,18,OXFORD WHITE,3FMCR9CN6SRF56598,5, ,T,38490
TEC99940,2026,FORD,F-350, ,N,Available,13,MARSH GRAY,1FT8W3BM2TEC99940,5, ,T,91420
512BE0R,2025,FORD,BRONCO,RAPTOR 4DR 4X4,N,Available,,DESERT SAND,1FMEE0RR5SLB44715,, ,O,87700
