Stock#,Year,Make,Model,Trim,N/U/T,Status,Age,Ext. Color,Vin,Miles,Location,DMS Status,Price
N032R2C,2026,FORD,TRANSIT-250 CARGO,BASE ALL-WHEEL DRIVE MEDIUM ROOF VAN 148 IN. WB,N,Available,10,OXFORD WHITE,1FTBR2C88TKA25927,, ,O,62120
FA1298,2023,CHEVROLET,EQUINOX,LT W/2FL ALL-WHEEL DRIVE,U,Available,88,SUMMIT WHITE,3GNAXTEG7PL250394,12758, ,S,23259
SFC34028,2025,FORD,F-150,TREMOR 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,1,OXFORD WHITE,1FTFW4L84SFC34028,5, ,S,79845
SFC18928,2025,FORD,F-150, ,N,Available,1,ANTIMATTER BLUE,1FTFW5L87SFC18928,5, ,S,73190
SEA42910,2025,FORD,EXPEDITION,TREMOR 4DR 4X4,N,Available,68,WHITE METALLIC,1FMJU1RG5SEA42910,116, ,S,84540
,2017,FORD,MUSTANG,GT PREMIUM 2DR FASTBACK,T,Appraised,, ,1FA6P8CF7H5330372,62563, ,,0
715PK8J,2026,FORD,EXPLORER,TREMOR 4DR 4X4,N,Available,,STAR WHITE MET ,1FMWK8JC0TGA25631,, ,O,64265
,2015,LAND ROVER,RANGE ROVER SPORT,5.0L V8 SUPERCHARGED 4DR 4X4,T,Appraised,,SANTORINI BLACK [BLACK],SALWR2TF1FA511580,92172, ,,0
N104W5L,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,3,CARBONIZED GRAY,1FTFW5L58SFC68033,, ,O,74845
SUA79471,2025,FORD,ESCAPE,PHEV 4DR FRONT-WHEEL DRIVE,N,Available,225,WHITE METALLIC,1FMCU0E10SUA79471,5, ,S,40890
F57NK8D,2026,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,,AGATE BLACK MET,1FMUK8DH2TGA38315,, ,O,44680
,2022,JEEP,WRANGLER UNLIMITED 4XE,SAHARA 4DR 4X4,T,Appraised,, ,1C4JJXP65NW170640,39189, ,,0
,2021,KIA,TELLURIDE,S (A8) 4DR ALL-WHEEL DRIVE,T,Appraised,, ,5XYP6DHC2MG150159,94380, ,,0
SKF61175,2025,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,21,GRAY METALLIC,1FTEW3LP2SKF61175,5, ,S,63730
SFC19627,2025,FORD,F-150,TREMOR 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,25,CARBONIZED GRAY,1FTFW4L86SFC19627,5, ,T,78820
SEC25524A,2024,CHEVROLET,SILVERADO 2500HD,LT 4X4 CREW CAB 6.75 FT. BOX 159 IN. WB,U,Available,1, ,2GC4YNEY1R1180645,67568, ,S,0
N030W3L,2025,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,,ICONIC SILVER M,1FTEW3LP4SKF91584,, ,O,61695
SEA53156,2025,FORD,EXPEDITION,ACTIVE 4DR 4X4,N,Available,24,GRAY,1FMJU1J82SEA53156,180, ,S,72885
811IK1P,2025,FORD,EXPEDITION MAX,KING RANCH 4DR 4X4,N,Available,,STAR WHITE MET ,1FMJK1P89SEA75300,, ,O,90910
TEC38689,2026,FORD,F-250, ,N,Available,35,OXFORD WHITE,1FT8W2BM9TEC38689,5, ,S,78360
SLB56698,2025,FORD,BRONCO,OUTER BANKS 4DR 4X4,N,Available,20,SHADOW BLACK,1FMEE8BP4SLB56698,5, ,T,60340
,2008,TOYOTA,SIENNA, ,T,Appraised,, ,5TDZK23C48S193555,278000, ,,0
SRB39626,2025,FORD,MAVERICK,XLT ALL-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,56,SHADOW BLACK,3FTTW8JA5SRB39626,5, ,S,35785
FA1235A,2021,KIA,FORTE,GT (DCT) 4DR SEDAN,U,Available,34,GRAVITY GRAY,3KPF44AC6ME366900,43526, ,S,18696
SGD07210,2025,FORD,EXPLORER,PLATINUM 4DR 4X4,N,Available,5,WHITE,1FMUK8HH7SGD07210,125, ,S,58660
SLB56806,2025,FORD,BRONCO,OUTER BANKS 4DR 4X4,N,Available,1,OXFORD WHITE,1FMEE8BH2SLB56806,5, ,S,58195
R034W2B,2026,FORD,F-250, ,N,Available,,AVALANCHE,1FT8W2BT0TEC99582,, ,O,88845
SKF60946,2025,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,7,SPACE WHITE METALLIC,1FTEW3LP0SKF60946,5, ,S,63110
SFC04360,2025,FORD,F-150, ,N,Available,1,CARBONIZED GRAY,1FTFW5L88SFC04360,5, ,S,73000
SLB36332,2025,FORD,BRONCO,OUTER BANKS 4DR 4X4,N,Available,13,OXFORD WHITE,1FMEE8BH4SLB36332,5, ,S,59940
FA1319,2024,HONDA,PASSPORT,EX-L (A9) 4DR ALL-WHEEL DRIVE,U,Available,61,CRYSTAL BLACK PEARL,5FNYF8H59RB011867,52443, ,S,34493
SKD76751,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,77,GRAY METALLIC,1FTEW2LP4SKD76751,213, ,S,53940
SFA35476,2025,FORD,F-150, ,N,Available,232,OXFORD WHITE,1FTFW5LD7SFA35476,48, ,S,70240
SLE46369,2025,FORD,RANGER,LARIAT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,S,Available,63,VELOCITY BLUE M,1FTER4KP9SLE46369,5, ,T,54025
R5140751,2024,FORD,MUSTANG,MUST,T,Appraised,,DARK MATTER GRAY METALLIC,1FA6P8TH3R5140751,5, ,,0
,2015,FORD,FOCUS, ,T,Appraised,, ,1FADP3K20FL306626,99207, ,,0
,2011,FORD,EDGE, ,T,Appraised,, ,2FMDK3GC4BBB44483,125883, ,,0
,2016,GMC,CANYON,SLE 4X4 CREW CAB 6 FT. BOX 140.5 IN. WB,T,Appraised,,EMERALD GREEN METALLIC [GREEN],1GTP6CE1XG1201571,114030, ,,0
TEC50660,2026,FORD,F-250, ,N,Available,26,OXFORD WHITE,1FT8W2BM1TEC50660,5, ,S,82075
R811U9M,2026,FORD,ESCAPE,ST-LINE 4DR ALL-WHEEL DRIVE,N,Available,,VAPOR BLUE META,1FMCU9MNXTUA13603,, ,O,35625
SRF40171,2025,FORD,BRONCO SPORT,OUTER BANKS 4DR 4X4,N,Available,11,GRAY METALLIC,3FMCR9CN0SRF40171,5, ,S,38975
,2023,HYUNDAI,SANTA FE,CALLIGRAPHY (DCT) 4DR ALL-WHEEL DRIVE,T,Appraised,, ,5NMS5DAL3PH636237,29307, ,,0
R046E9B,2025,FORD,BRONCO,BADLANDS 4DR 4X4,N,Available,,MARSH GRAY,1FMEE9BP8SLB68410,, ,O,63205
818GE9B,2025,FORD,BRONCO,BADLANDS 4DR 4X4,N,Available,,DESERT SAND,1FMEE9BP4SLB58148,, ,P,64305
SGC65023B,2015,FORD,FOCUS,SE 4DR HATCHBACK,U,Available,10,MAGNETIC,1FADP3K20FL306626,99208, ,S,8977
715QK8J,2026,FORD,EXPLORER,TREMOR 4DR 4X4,N,Available,,AGATE BLACK MET,1FMWK8JC8TGA27109,, ,O,63665
B617W2L,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,4,AGATE BLACK MET,1FTEW2L56SFC13669,, ,O,60620
TUA13844,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,19,VAPOR BLUE META,1FMCU9GN5TUA13844,5, ,T,34780
SRB21266,2025,FORD,MAVERICK,XL FRONT-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,67,VELOCITY BLUE,3FTTW8A38SRB21266,5, ,S,30960
811EU1R,2025,FORD,EXPEDITION,TREMOR 4DR 4X4,N,Available,,DARK MATTER GRE,1FMJU1RG2SEA74178,, ,O,85280
SFC09088,2025,FORD,F-150, ,N,Available,,ATLAS BLUE,1FTFW5LD3SFC09088,, ,,74915
SUB60571A,2018,HYUNDAI,KONA,SEL W/CONTRASTING ROOF (A6) 4DR FRONT-WHEEL DRIVE,U,Available,18,SONIC SILVER W/BLACK ROOF,KM8K22AA6JU103046,90855, ,S,13245
SRF08293,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,,ERUPTION GREEN,3FMCR9BN6SRF08293,, ,,38080
FA1264B,2023,HYUNDAI,SANTA FE,XRT (A8) 4DR FRONT-WHEEL DRIVE,U,Available,45,STORMY SEA,5NMS64AJ8PH565371,44910, ,S,23997
N018K8J,2026,FORD,EXPLORER,TREMOR 4DR 4X4,N,Available,,CARBONIZED GRAY,1FMUK8JH0TGA43470,, ,O,50905
SRE80820,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,160,RUBY RED METALLIC,3FMCR9BN4SRE80820,5, ,T,33085
FA1295A,2015,CHEVROLET,SONIC,LT AUTO 4DR HATCHBACK,U,Available,3,RED,1G1JC6SH2F4218680,137239, ,S,0
SKF38663,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,21,CARBONIZED GRAY METALLIC,1FTEW2LP7SKF38663,5, ,S,50825
TEC89926,2026,FORD,F-450, ,S,Available,12,ARGON BLUE META,1FT8W4DM9TEC89926,5, ,T,109780
FA1269,2023,JEEP,WRANGLER 4XE,SAHARA 4DR 4X4,U,Available,141,SILVER ZYNITH CLEARCOAT,1C4JJXP6XPW630491,55284, ,S,27999
SGC41640A,2021,JEEP,WRANGLER UNLIMITED,SPORT S 4DR 4X4,U,Available,24,BLACK CLEARCOAT,1C4HJXDNXMW770949,82837, ,S,28288
804CW2B,2026,FORD,F-250, ,N,Available,5,OXFORD WHITE,1FT8W2BM6TEC82066,, ,O,81195
FR192,2024,JEEP,GRAND CHEROKEE 4XE,TRAILHAWK 4DR 4X4,U,Available,369,MIDNIGHT SKY,1C4RJYC67R8941608,16875, ,S,35317
SRB38977,2025,FORD,MAVERICK,XLT ALL-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,24,CARBONIZED GRAY METALLIC,3FTTW8JA7SRB38977,5, ,S,35785
L811U9G,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,,AGATE BLACK MET,1FMCU9GN7TUA20066,, ,O,34285
FA1274,2022,JEEP,WRANGLER UNLIMITED, ,U,Available,133,STING-GRAY CLEARCOAT,1C4HJXDN2NW254411,38493, ,S,26890
TEC05762,2026,FORD,F-350, ,N,Available,50,STAR WHITE METALLIC TRI-COAT,1FT8W3BM7TEC05762,5, ,S,90035
TGA08162,2026,FORD,EXPLORER,ST 4DR 4X4,N,Available,6,STAR WHITE METALLIC TRI-COAT,1FMWK8GC6TGA08162,5, ,S,60290
SEA53979A,2018,FORD,F-150, ,U,Available,13,SHADOW BLACK,1FTEW1EG6JKD87000,134369, ,S,24360
FA1222B,2022,CHEVROLET,SILVERADO 1500 LTD,RST 4X4 CREW CAB 5.75 FT. BOX 147.4 IN. WB,U,Available,13,CHERRY RED TINTCOAT,1GCUYEED5NZ120219,50669, ,S,0
SKF28493,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,47,AGATE BLACK METALLIC,1FTEW2LP2SKF28493,5, ,S,50425
N033R2C,2026,FORD,TRANSIT-250 CARGO,BASE ALL-WHEEL DRIVE MEDIUM ROOF VAN 148 IN. WB,N,Available,3,OXFORD WHITE,1FTBR2C84TKA29554,, ,O,61835
RKB17762,2024,FORD,TRANSIT-250 CARGO,BASE ALL-WHEEL DRIVE MEDIUM ROOF VAN 148 IN. WB,N,Available,382,OXFORD WHITE,1FTBR2C81RKB17762,523, ,S,61775
FA1221A,2017,GMC,CANYON,DENALI 4X4 CREW CAB 5 FT. BOX 128.3 IN. WB,U,Available,20,DARK SLATE METALLIC,1GTG6EENXH1257459,101064, ,S,22197
I164K8D,2026,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,10,SPACE SILVER,1FMUK8DHXTGA18085,, ,O,44280
N011W8J,2026,FORD,MAVE, ,N,Available,3,SHADOW BLACK,3FTTW8JA3TRA12164,, ,O,36000
S5409462,2025,FORD,MUSTANG, ,N,Available,47,MAGENTA,1FA6P8CFXS5409462,5, ,S,56715
SED44922,2025,FORD,F-250, ,N,Available,158,RACE RED,1FT8W2BT7SED44922,5, ,S,84645
SKF55869,2025,FORD,F-150,XL 4X2 REGULAR CAB 8 FT. BOX 141 IN. WB,S,Available,19,OXFORD WHITE,1FTMF1KP3SKF55869,12, ,S,40425
SRF27803,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,48,OXFORD WHITE,3FMCR9BNXSRF27803,5, ,S,32990
F903W2B,2026,FORD,F-250, ,N,Available,,OXFORD WHITE,1FT8W2BM3TED00281,, ,O,90880
TEC49440,2026,FORD,F-250, ,N,Available,24,OXFORD WHITE,1FT8W2BM4TEC49440,5, ,S,89615
SEA65927,2025,FORD,EXPEDITION MAX,KING RANCH 4DR 4X4,N,Available,25,STAR WHITE MET ,1FMJK1P83SEA65927,5, ,T,90910
N010W8J,2026,FORD,MAVERI, ,N,Available,3,SHADOW BLACK,3FTTW8J39TRA12316,, ,O,39770
,2023,LEXUS,NX 350,LUXURY (A8) 4DR ALL-WHEEL DRIVE,T,Appraised,, ,2T2HGCEZ5PC027066,29373, ,,0
I811U9M,2026,FORD,ESCAPE,ST-LINE 4DR ALL-WHEEL DRIVE,N,Available,,CARBONIZED GRAY,1FMCU9MN8TUA19416,, ,O,35130
TEC32396,2026,FORD,F-250, ,N,Available,32,OXFORD WHITE,1FT7W2BT4TEC32396,5, ,T,71675
N017K8G,2026,FORD,EXPLORER,ST 4DR 4X4,N,Available,,CARBONIZED GRAY,1FMWK8GC8TGA43088,, ,O,63180
SRB41455,2025,FORD,MAVERICK,XLT FRONT-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,67,SPACE WHITE METALLIC,3FTTW8H34SRB41455,21, ,S,34365
SUB71281,2025,FORD,ESCAPE,ACTIVE 4DR FRONT-WHEEL DRIVE,N,Available,29,RAPID RED METALLIC TINTED CLEARCOAT,1FMCU0GN6SUB71281,211, ,S,31850
SRF26454B,2022,KIA,SOUL,LX (IVT) 4DR HATCHBACK,U,Available,24,CHERRY BLACK,KNDJ23AU7N7153538,114767, ,S,14784
SGD01490A,2020,GMC,TERRAIN,SLT FRONT-WHEEL DRIVE,U,Available,3, ,3GKALPEV1LL291029,83227, ,S,0
SKD04764,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,277,RED METALLIC,1FTEW2LP5SKD04764,21, ,S,55320
N013R9B,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,17,ERUPTION GREEN ,3FMCR9BN9SRF63210,, ,O,37800
,2016,FORD,F-150, ,T,Appraised,, ,1FTEX1EP0GFB12205,214000, ,,0
,2016,TESLA,MODEL X,75D 4DR SPORT UTILITY,T,Appraised,, ,5YJXCBE23GF015521,112593, ,,0
SLB37776,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,20,SHADOW BLACK,1FMDE7BH4SLB37776,5, ,S,50160
SMA32190,2025,FORD,MUSTANG MACH-E,PREMIUM 4DR ALL-WHEEL DRIVE,N,Available,98,MOLTEN MAGENTA METALLIC TINTED CLEARCOAT,3FMTK3SU7SMA32190,5, ,S,54510
N007W8J,2026,FORD,MAVE, ,N,Available,17,CARBONIZED GRAY,3FTTW8JA5TRA09542,, ,O,35905
L721W2L,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,4,AGATE BLACK MET,1FTEW2L59SFC36606,, ,O,59995
SKF57043,2025,FORD,F-150,XL 4X2 REGULAR CAB 8 FT. BOX 141 IN. WB,S,Available,21,OXFORD WHITE,1FTMF1KP7SKF57043,11, ,S,40425
SGC61885,2025,FORD,EXPLORER,ST 4DR 4X4,N,Available,41,RAPID RED METALLIC TINTED CLEARCOAT,1FMWK8GC8SGC61885,284, ,S,59360
SKD42493,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,129,WHITE METALLIC,1FTFW2L5XSKD42493,37, ,S,56500
SUB48397,2025,FORD,ESCAPE,ST-LINE ELITE 4DR ALL-WHEEL DRIVE,N,Available,69,AGATE BLACK METALLIC,1FMCU9PA7SUB48397,5, ,S,38495
SKF59643,2025,FORD,F-150,XL 4X2 REGULAR CAB 8 FT. BOX 141 IN. WB,S,Available,21,OXFORD WHITE,1FTMF1KP8SKF59643,12, ,S,40425
K89FK8D,2026,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,,VAPOR BLUE,1FMUK8DH0TGA38362,, ,O,45175
SRE51289A,2022,HONDA,CIVIC,SPORT (CVT) 4DR SEDAN,U,Available,38,CRYSTAL BLACK PEARL,2HGFE2F5XNH591842,69916, ,S,23752
SUB03722,2025,FORD,ESCAPE,ACTIVE 4DR FRONT-WHEEL DRIVE,N,Available,162,AGATE BLACK METALLIC,1FMCU0GN0SUB03722,5, ,S,31985
SEA57612A,2023,JEEP,WAGONEER,SERIES II 4DR 4X4,U,Available,27,BRIGHT WHITE CLEARCOAT,1C4SJVBP2PS560971,33018, ,S,52986
SKF55970,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,7,SPACE WHITE METALLIC,1FTEW2LP2SKF55970,5, ,S,51890
FA1320,2024,FORD,EDGE,TITANIUM 4DR ALL-WHEEL DRIVE,U,Available,57,GRAY METALLIC,2FMPK4K99RBA90090,39778, ,S,43820
,2018,FORD,F-150, ,T,Appraised,, ,1FTEW1EG6JKD87000,134369, ,,0
,2020,MAZDA,MAZDA3, ,T,Appraised,, ,JM1BPBNM1L1161161,53830, ,,0
TUA24685,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,24,SPACE SILVER ME,1FMCU9GN0TUA24685,5, ,T,34780
SKF38768,2025,FORD,F-150, ,N,Available,19,OXFORD WHITE,1FTFW3L86SKF38768,5, ,S,64265
818FE7B,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,,SHADOW BLACK,1FMEE7BH7SLB54379,, ,P,57215
RFB44140,2024,FORD,F-150, ,T,Pending Appraisal,,BLACK,1FTFW3LD6RFB44140,44, ,,0
SFA29599,2025,FORD,F-150, ,N,Available,270,BLUE METALLIC,1FTFW5LD4SFA29599,5, ,S,73470
SGC95708,2025,FORD,EXPLORER,ST 4DR 4X4,N,Available,42,STAR WHITE METALLIC TRI-COAT,1FMWK8GC2SGC95708,5, ,S,63205
TEC24434,2026,FORD,F-250, ,N,Available,42,RACE RED,1FT8W2BT6TEC24434,5, ,S,79715
SLB53288,2025,FORD,BRONCO,OUTER BANKS 4DR 4X4,N,Available,20,AZURE GRAY MET ,1FMEE8BH2SLB53288,5, ,T,62015
N016E7B,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,,DESERT SAND,1FMEE7BH1SLB64485,, ,O,58505
TEC05434,2026,FORD,F-250, ,N,Available,42,MARSH GRAY,1FT8W2BM9TEC05434,5, ,S,85520
FA1310,2024,BUICK,ENVISTA,PREFERRED 4DR FRONT-WHEEL DRIVE,U,Available,70,EBONY TWILIGHT METALLIC,KL47LAE22RB200685,15704, ,S,23253
,2018,FORD,F-150,LARIAT 4X4 SUPERCREW CAB STYLESIDE 5.5 FT. BOX 145 IN. WB,T,Appraised,, ,1FTEW1EG2JKC63239,114000, ,,0
A813W3L,2025,FORD,F-150 LIGHTNING,FLASH ALL-WHEEL DRIVE SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,,CARBONIZED GRAY,1FT6W3LUXSWG33176,, ,O,73990
SLB39641,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,20,OXFORD WHITE,1FMEE7BH7SLB39641,5, ,S,58560
,2007,LAND ROVER,RANGE ROVER,HSE 4DR ALL-WHEEL DRIVE,T,Appraised,, ,SALME15447A250682,194886, ,,0
,2018,FORD,F-150,RAPTOR 4X4 SUPERCAB STYLESIDE 5.5 FT. BOX 133 IN. WB,T,Appraised,, ,,125000, ,,0
REF71839A,2024,GMC,SIERRA 3500HD, ,U,Available,147,ONYX BLACK,1GT49WEY1RF395342,8218, ,S,75565
TUA23878,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,19,VAPOR BLUE META,1FMCU9GN6TUA23878,5, ,T,34930
N024W5L,2025,FORD,F-150, ,N,Available,24,ICONIC SILVER M,1FTFW5L59SFC56604,, ,O,75375
SLE54570,2025,FORD,RANGER,XLT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,20,GRAY METALLIC,1FTER4HH9SLE54570,5, ,S,44250
SEA56417,2025,FORD,EXPEDITION,PLATINUM 4DR 4X4,N,Available,62,AGATE BLACK MET,1FMJU1MG4SEA56417,5, ,T,84730
TEC72585,2026,FORD,F-250, ,N,Available,39,STAR WHITE,1FT8W2BM2TEC72585,5, ,T,101210
SRF49905,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,7,SHADOW BLACK,3FMCR9BN7SRF49905,5, ,T,32990
ORDR001,2025,FORD,MAVERICK,LARIAT ALL-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,,RUBY RED,,, ,,40020
SLB09913,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,54,ERUPTION GREEN METALLIC,1FMEE7BH7SLB09913,5, ,S,57060
,2003,DODGE,GRAND CARAVAN,SE FRONT-WHEEL DRIVE PASSENGER VAN,T,Appraised,, ,1D4GP243X3B152924,142424, ,,0
811TR4L,2025,FORD,RANGER,RAPTOR 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,,SHADOW BLACK,1FTER4LR4SLE63936,, ,P,59260
811HU1M,2025,FORD,EXPEDITION,PLATINUM 4DR 4X4,N,Available,,DARK MATTER GRE,1FMJU1MG0SEA76504,, ,O,85225
FA1328,2021,JEEP,WRANGLER UNLIMITED 4XE,SAHARA 4DR 4X4,U,Available,27,BLACK CLEARCOAT,1C4JJXP6XMW776739,46444, ,S,31791
SGC50949A,2020,LINCOLN,CORSAIR,RESERVE 4DR FRONT-WHEEL DRIVE,U,Available,3,WHITE,5LMCJ2C96LUL25659,36079, ,S,0
T42EW3L,2025,FORD,F-150, ,N,Available,,OXFORD WHITE,1FTFW3LD9SFC50202,, ,O,62390
FA1282,2024,FORD,EXPEDITION,TIMBERLINE 4DR 4X4,U,Available,112,BLACK METALLIC,1FMJU1RG8REA09829,12850, ,S,64340
TUA05895,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,20,BLACK METALLIC,1FMCU9GN4TUA05895,5, ,S,35080
,2010,MERCURY,MOUNTAINEER,BASE ALL-WHEEL DRIVE,T,Appraised,, ,4M2EN4HE7AUJ01832,159451, ,,0
SEA53582,2025,FORD,EXPEDITION,ACTIVE 4DR 4X4,N,Available,24,AGATE BLACK METALLIC,1FMJU1J88SEA53582,5, ,S,68420
SFA13166,2025,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,264,BLUE METALLIC,1FTFW3LD8SFA13166,68, ,S,68255
S5124820,2025,FORD,MUSTANG, ,N,Available,129,MAGENTA,1FA6P8TH7S5124820,5, ,T,44330
N001U9G,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,,VAPOR BLUE META,1FMCU9GN9TUA41548,, ,O,36770
SRA82026,2025,FORD,MAVERICK,LOBO STANDARD ALL-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,148,GRAY METALLIC,3FTCW8TA6SRA82026,21, ,S,37125
SLB30124,2025,FORD,BRONCO,RAPTOR 4DR 4X4,N,Available,20,SHADOW BLACK,1FMEE0RR0SLB30124,5, ,S,85950
FA1331,2022,FORD,EXPLORER,LIMITED 4DR 4X4,U,Available,, ,1FMSK8FH1NGB67993,39312, ,S,37660
SKD29138A,2016,FORD,F-150, ,U,Available,6, ,1FTEX1EP0GFB12205,214653, ,S,0
N015R9B,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,5,DESERT SAND,3FMCR9BN9SRF65247,, ,O,38100
SLB41644,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,20,DESERT SAND,1FMEE7BH1SLB41644,5, ,S,57630
A903W5L,2025,FORD,F-150, ,N,Available,,AGATE BLACK MET,1FTFW5L83SFC47679,, ,O,73625
R038W1R,2025,FORD,F-150,RAPTOR 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,,AGATE BLACK MET,1FTFW1RG2SFC63718,, ,O,83720
RKB26128,2024,FORD,TRANSIT-250 CARGO,BASE REAR-WHEEL DRIVE LOW ROOF VAN 130 IN. WB,N,Available,410,OXFORD WHITE,1FTBR1Y87RKB26128,31, ,S,54325
TEC74053,2026,FORD,F-250, ,N,Available,25,CARBONIZED GRAY,1FT8W2BM1TEC74053,5, ,T,90470
R047E9B,2025,FORD,BRONCO,BADLANDS 4DR 4X4,N,Available,,DESERT SAND,1FMEE9BP1SLB70905,, ,O,61855
,2009,HONDA,CIVIC HYBRID, ,T,Appraised,, ,JHMFA36279S013393,192805, ,,0
N106W5L,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 6.5 FT. BOX 157 IN. WB,N,Available,3,CARBONIZED GRAY,1FTFW5LD8SFC68654,, ,O,73500
FA1302,2024,LINCOLN,NAVIGATOR L,PREMIERE 4DR 4X4,U,Available,88,BLACK METALLIC,5LMJJ3NG6REL06735,46666, ,S,62998
TEC36597,2026,FORD,F-250, ,N,Available,54,OXFORD WHITE,1FT8W2BT6TEC36597,3, ,S,79825
SFC30829,2025,FORD,F-150, ,N,Available,27,STAR WHITE META,1FTFW5L8XSFC30829,5, ,T,73595
715TK3S,2025,FORD,MUSTANG MACH-E,PREMIUM 4DR ALL-WHEEL DRIVE,N,Available,,STAR WHITE MET ,3FMTK3SU2SMA58597,, ,O,54410
SUB04589,2025,FORD,ESCAPE,ACTIVE 4DR FRONT-WHEEL DRIVE,N,Available,148,SILVER METALLIC,1FMCU0GN7SUB04589,5, ,S,31985
H813R9C,2025,FORD,BRONCO SPORT,OUTER BANKS 4DR 4X4,N,Available,,AZURE GRAY META,3FMCR9CN3SRF47910,, ,O,39485
SFC19298,2025,FORD,F-150, ,N,Available,25,AGATE BLACK MET,1FTFW5L85SFC19298,5, ,T,72790
,2020,DODGE,CHARGER,SXT 4DR REAR-WHEEL DRIVE SEDAN,T,Appraised,, ,2C3CDXBG3LH233069,31454, ,,0
N002U9G,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,5,OXFORD WHITE,1FMCU9GN2TUA45943,, ,O,34785
SLB03405,2025,FORD,BRONCO,OUTER BANKS 4DR 4X4,N,Available,20,DESERT SAND,1FMEE8BH5SLB03405,5, ,S,61415
SLB39391A,2020,DODGE,CHARGER,SXT 4DR REAR-WHEEL DRIVE SEDAN,U,Available,1, ,2C3CDXBG3LH233069,31454, ,S,0
,2013,RAM,1500,SLT 4X4 QUAD CAB 140 IN. WB,T,Appraised,, ,1C6RR7GT8DS709749,138758, ,,0
